FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
0;undefined;undefined;Sweden;2020-02-27T20:33:02;undefined;undefined;7;0;0;0;undefined
0;undefined;undefined;Norway;2020-02-28T21:03:02;undefined;undefined;6;0;0;0;undefined
0;undefined;Queensland;Australia;2020-02-21T05:43:02;undefined;undefined;5;0;1;0;undefined
0;undefined;"Toronto,ON";Canada;2020-02-27T22:43:02;undefined;undefined;5;0;2;0;undefined
0;undefined;undefined;Croatia;2020-02-28T15:43:03;undefined;undefined;5;0;0;0;undefined
0;undefined;NewSouth Wales;Australia;2020-02-13T17:53:03;undefined;undefined;4;0;4;0;undefined
0;undefined;Victoria;Australia;2020-02-13T17:53:03;undefined;undefined;4;0;4;0;undefined
0;undefined;undefined;Greece;2020-02-28T15:33:03;undefined;undefined;4;0;0;0;undefined
0;undefined;undefined;Israel;2020-02-28T15:53:03;undefined;undefined;4;0;1;0;undefined
0;undefined;undefined;Oman;2020-02-26T04:53:02;undefined;undefined;4;0;0;0;undefined
0;undefined;undefined;Austria;2020-02-27T14:03:03;undefined;undefined;3;0;0;0;undefined
0;undefined;undefined;India;2020-02-16T07:43:02;undefined;undefined;3;0;3;0;undefined
0;undefined;undefined;Philippines;2020-02-12T07:43:02;undefined;undefined;3;1;1;0;undefined
0;undefined;undefined;Romania;2020-02-28T15:33:03;undefined;undefined;3;0;0;0;undefined
0;undefined;SouthAustralia;Australia;2020-02-17T08:13:09;undefined;undefined;2;0;2;0;undefined
0;undefined;undefined;Finland;2020-02-26T19:03:08;undefined;undefined;2;0;1;0;undefined
0;undefined;undefined;Lebanon;2020-02-26T19:33:02;undefined;undefined;2;0;0;0;undefined
0;undefined;undefined;Pakistan;2020-02-26T23:53:02;undefined;undefined;2;0;0;0;undefined
0;undefined;undefined;Russia;2020-02-12T14:43:03;undefined;undefined;2;0;2;0;undefined
0;undefined;"Chicago,IL";US;2020-02-09T19:03:03;undefined;undefined;2;0;2;0;undefined
0;undefined;"SacramentoCounty, CA";US;2020-02-27T20:33:02;undefined;undefined;2;0;0;0;undefined
0;undefined;"SanBenito, CA";US;2020-02-03T03:53:02;undefined;undefined;2;0;0;0;undefined
0;undefined;"SanDiego County, CA";US;2020-02-21T05:43:02;undefined;undefined;2;0;1;0;undefined
0;undefined;"SantaClara, CA";US;2020-02-21T05:23:04;undefined;undefined;2;0;1;0;undefined
0;undefined;undefined; Azerbaijan;2020-02-28T15:03:26;undefined;undefined;1;0;0;0;undefined
